State,Month,MonthNum,Accidents
Nasik,July,7,23
Nasik,August,8,21
Nasik,September,9,31
Nasik,October,10,31
Nasik,November,11,18
Nasik,December,12,29
Patna,January,1,26
Patna,February,2,29
Patna,March,3,31
Patna,April,4,22
Patna,May,5,28
Patna,June,6,31
Patna,July,7,27
Patna,August,8,20
Patna,September,9,27
Patna,October,10,23
Patna,November,11,27
Patna,December,12,31
Prayagraj,January,1,102
Prayagraj,February,2,114
Prayagraj,March,3,118
Prayagraj,April,4,95
Prayagraj,May,5,110
Prayagraj,June,6,127
Prayagraj,July,7,100
Prayagraj,August,8,107
Prayagraj,September,9,85
Prayagraj,October,10,100
Prayagraj,November,11,92
Prayagraj,December,12,147
Pune,January,1,50
Pune,February,2,42
Pune,March,3,37
Pune,April,4,36
Pune,May,5,38
Pune,June,6,48
Pune,July,7,41
Pune,August,8,36
Pune,September,9,47
Pune,October,10,46
Pune,November,11,37
Pune,December,12,44
Raipur,January,1,121
Raipur,February,2,99
Raipur,March,3,98
Raipur,April,4,82
Raipur,May,5,92
Raipur,June,6,88
Raipur,July,7,83
Raipur,August,8,74
Raipur,September,9,110
Raipur,October,10,58
Raipur,November,11,81
Raipur,December,12,91
Rajkot,January,1,48
Rajkot,February,2,49
Rajkot,March,3,30
Rajkot,April,4,42
Rajkot,May,5,46
Rajkot,June,6,44
Rajkot,July,7,39
Rajkot,August,8,36
Rajkot,September,9,44
Rajkot,October,10,47
Rajkot,November,11,33
Rajkot,December,12,36
Ranchi,January,1,28
Ranchi,February,2,25
Ranchi,March,3,18
Ranchi,April,4,18
Ranchi,May,5,19
Ranchi,June,6,22
Ranchi,July,7,19
Ranchi,August,8,25
Ranchi,September,9,17
Ranchi,October,10,22
Ranchi,November,11,23
Ranchi,December,12,27
Srinagar,January,1,18
Srinagar,February,2,35
Srinagar,March,3,48
Srinagar,April,4,40
Srinagar,May,5,28
Srinagar,June,6,57
Srinagar,July,7,52
Srinagar,August,8,57
Srinagar,September,9,44
Srinagar,October,10,40
Srinagar,November,11,35
Srinagar,December,12,22
Surat,January,1,63
Surat,February,2,63
Surat,March,3,48
Surat,April,4,55
Surat,May,5,59
Surat,June,6,54
Surat,July,7,58
Surat,August,8,38
Surat,September,9,47
Surat,October,10,59
Surat,November,11,49
Surat,December,12,57
Thiruvananthapuram,January,1,192
Thiruvananthapuram,February,2,168
Thiruvananthapuram,March,3,175
Thiruvananthapuram,April,4,157
Thiruvananthapuram,May,5,167
Thiruvananthapuram,June,6,189
Thiruvananthapuram,July,7,163
Thiruvananthapuram,August,8,181
Thiruvananthapuram,September,9,167
Thiruvananthapuram,October,10,231
Thiruvananthapuram,November,11,171
Thiruvananthapuram,December,12,145
Thrissur,January,1,246
Thrissur,February,2,198
Thrissur,March,3,208
Thrissur,April,4,196
Thrissur,May,5,201
Thrissur,June,6,190
Thrissur,July,7,160
Thrissur,August,8,198
Thrissur,September,9,225
Thrissur,October,10,203
Thrissur,November,11,185
Thrissur,December,12,234
Tiruchirappalli,January,1,49
Tiruchirappalli,February,2,42
Tiruchirappalli,March,3,54
Tiruchirappalli,April,4,55
Tiruchirappalli,May,5,45
Tiruchirappalli,June,6,59
Tiruchirappalli,July,7,59
Tiruchirappalli,August,8,64
Tiruchirappalli,September,9,53
Tiruchirappalli,October,10,44
Tiruchirappalli,November,11,38
Tiruchirappalli,December,12,57
Vadodara,January,1,44
Vadodara,February,2,46
Vadodara,March,3,49
Vadodara,April,4,47
Vadodara,May,5,38
Vadodara,June,6,27
Vadodara,July,7,52
Vadodara,August,8,59
Vadodara,September,9,54
Vadodara,October,10,52
Vadodara,November,11,40
Vadodara,December,12,58
Varanasi,January,1,22
Varanasi,February,2,17
Varanasi,March,3,14
Varanasi,April,4,11
Varanasi,May,5,14
Varanasi,June,6,12
Varanasi,July,7,23
Varanasi,August,8,21
Varanasi,September,9,13
Varanasi,October,10,15
Varanasi,November,11,19
Varanasi,December,12,15
Vasai Virar,January,1,31
Vasai Virar,February,2,26
Vasai Virar,March,3,44
Vasai Virar,April,4,24
Vasai Virar,May,5,32
Vasai Virar,June,6,35
Vasai Virar,July,7,23
Vasai Virar,August,8,25
Vasai Virar,September,9,24
Vasai Virar,October,10,35
Vasai Virar,November,11,36
